;indbyggertal 1. januar;andel 0-2-årige;andel 0-5-årige;andel 0-9-årige;andel 0-10-årige;andel 0-13-årige;andel 0-17-årige;andel 3-5-årige;andel 6-9-årige;andel 6-13-årige;andel 6-16-årige;andel 10-13-årige;andel 17-64-årige;andel 17-66-årige;andel 18-66-årige;andel 18+-årige;andel 25-64-årige;andel 65+-årige;andel 67+-årige;areal (km2) (abs);befolkningstæthed (indb/km2);befolkningsandel i bymæssig bebyggelse;andel ejerboliger;andel almennyttige boliger;andel udpendlere;andel indpendlere;andel 25-64-årige uden erhvervsuddannelse;andel 25-64-årige med videregående uddannelse;fuldtidsledige pr. 100 17-64/66-årige;børn af enlige forsørgere pr. 100 0-17-årige;statsborgere fra vestlige lande pr. 10.000 indb.;statsborgere fra ikke-vestlige lande pr. 10.000 indb.;anmeldte tyverier/indbrud pr. 1.000 indb.;anmeldte voldsforbrydelser pr. 1.000 indb.;andel opstillede kvinder ved kommunalvalg;andel valgte kvinder ved kommunalvalg;socioøkonomisk indeks;udgiftsbehov (landet) pr. indb.;udgiftsbehov (hovedstaden) pr. indb.;serviceudgifter pr. indb.;udskrivningsprocent;kirkeskatteprocent;grundskyldpromille;dækningsafgiftspromille af forretningsejendomme;dækn.afg.prm. af andre off. ejendommes grundværdi;dækn.afg.prm. af andre off. ejendommes forskelsværdi;beskatningsniveau (pct.);statsgaranteret udskrivningsgrundlag pr. indb.;budgetteret udskrivningsgrundlag pr. indb.;grundværdier pr. indb.;beskatningsgrundlag pr. indb.;nettodriftsudgifter pr. indb.;udg. til byudvikling, bolig og miljø pr. indb.;udg. til transport og infrastruktur pr. indb.;udg. til folkeskoleområdet pr. indb.;udg. til bibl./kultur/folkeopl. pr. indb.;udg. til sundh.ydelser ekskl. medfin. pr. indb.;udg. til akt.bestemt medfinans. af sundh.v. pr. indb.;udg. (netto) til dagtilbud pr. indb.;udg. (brutto) til dagtilbud pr. indb.;udg. til ældre samt voksne med særl. behov pr. indb.;udg. til lønpuljer pr. indb.;udg. til overførsler pr. indb.;udg. (brutto) til skattefinansieret anlæg pr. indb.;udg. til ledelse og adm. pr. indb.;udg. til central ledelse og adm. pr. indb.;udg. til decentral led. og adm. pr. indb.;udgifter i alt pr. indb.;driftsfinansiering ekskl. forsyningsvirks. pr. indb.;driftsindtægter ekskl. forsyningsvirks. pr. indb.;indtægter fra indkomstskat pr. indb.;indtægter fra ejendomsskat pr. indb.;indtægter fra selskabsskat pr. indb.;indtægter fra tilskud og udlign. pr. indb.;indtægter fra refusioner mv. pr. indb.;indt. fra den centr. ref.ordn. vedr. b/u pr. 0-17-årig;indt., centr. ref.ordn., voksne/hand. pr. 18-66-årig;refusion af købsmoms pr. indb.;anden finansiering pr. indb.;anlægsindt. excl. forsyningsvirksomhed pr. indb.;drifts- og anl.fin. inkl. fors.virks. i alt pr. indb.;langfristet gæld pr. 1/1 pr. indb.;langfristet gæld ekskl. ældrebol. pr. 1/1 pr. indb.;likvide aktiver pr. 1/1 pr. indb.;likviditet efter kassekreditreglen pr. indb.;personaleforbrug i alt pr. 1.000 indb.;årsværk til ledelse og administration pr. 1.000 indb.;privat-leverandør-indikator (pct.);indikator for konkurrenceudsættelse (pct.);indikator for konkurrenceudsættelse på hkt 0 (pct.);indikator for konkurrenceudsættelse på hkt 2 (pct.);indikator for konkurrenceudsættelse på hkt 3 (pct.);indikator for konkurrenceudsættelse på hkt 4 (pct.);indikator for konkurrenceudsættelse på hkt 5 (pct.);indikator for konkurrenceudsættelse på hkt 6 (pct.);udg. (brutto) til dagtilbud pr. 0-13-årig;udg. (netto) til dagtilbud pr. 0-13-årig;udg. til søskenderabat og fripladser pr. 0-10-årig;udg. til private pasningsordninger pr. 0-10-årig;pladser i dagpasning i alt pr. 100 0-10-årige;pladser i dagpleje pr. 100 0-2-årige;pladser i daginstitutioner pr. 100 0-2-årige;pladser i daginstitutioner pr. 100 3-5-årige;pladser i fritidshjem pr. 100 6-9-årige;pladser i sfo pr. 100 6-13-årige;antal købte pladser i dagtilbud over kom.grænser;antal solgte pladser i dagtilbud over kom.grænser;månedlig takst for dagplejeplads for 0-2-årige;månedlig takst for daginstitutionsplads for 0-2-årige;månedlig takst for daginstitutionsplads for 3-5-årige;mdl. takst for fritidshjemsplads for 6-9-årige;månedl. takst for sfo for 6-9-årige;månedl. takst for sfo for 10-13-årige;undervisningsudgifter pr. 6-16-årig;udg. til folkeskolen pr. 6-16-årig;udg. til folkeskolen pr. elev;antal folkeskoler;antal normalklasser;gennemsnitlig skolestørrelse;gennemsnitlig klassekvotient;udg. til privatskoler, efterskoler m.fl. pr. 6-16-årig;privatskoleelever pr. 100 elever;biblioteksudgifter pr. indb.;udg. til bøger og udlånsmaterialer pr. indb.;antal biblioteker;biblioteksudlån pr. indb.;personale i alt ved folkebiblioteker pr. 1.000 indb.;udg. til kultur pr. indb.;udg. til sport og fritid pr. indb.;udgifter til ældre pr. 67+-årig;udg. til ældre samt voksne m. særl. behov pr. 18+-årig;udg. til boligydelse pr. pensionist;boligydelsesmodtagere pr. 100 husstande;pladser i plejehjem/pl.centre pr. 1.000 65+/67+-årige;plejeboliger pr. 1.000 65+/67+-årige;ældreboliger pr. 1.000 65+/67+-årige;pladser i beskyttede boliger pr. 1.000 65+/67+-årige;betaling for udbragt mad pr. dag (abs);betaling for forplejning på plejehjem pr. mnd (abs);betaling for aflastn.ophold pr. døgn (abs) (til 2018);udg. til forsørgelse (netto) pr. 17-64/66-årig;udg. til børn og unge med særlige behov pr. 0-17-årig;udg. til voksne med særlige behov pr. 18-66-årig;udg. til introduktionsforløb for udlændinge pr. indb.;udg. til sygedagpenge pr. 17-64/66-årig;boligsikr.udg. pr. 17-64/66-årig;boligsikringsmodtagere pr. 100 husstande;udg. til førtidspension pr. 17-64/66-årig;førtidspensionister pr. 100 17-64/66-årige;udg. til kontanthjælp og revalidering pr 17-64/66-årig;kontanthjælpsmodtagere mv. pr. 100 17-64-årige;udg. til aktivering pr. 17-64/66-årig;serviceniveau (gns=1,00) (til 2018);skat/service-forhold (gns 1,00) (til 2018);kom.s forventning til serviceudg. pr. indb. (til 2016);halvårsstatus for serviceudgifter pr. indb. (til 2017);samlet amts- og primærkom. udskrivn.pct. (til 2006);beskatningsgrl. efter udligning pr. indb. (til 2006);udg. til forsyningsvirksomhed pr. indb. (til 2010);bruttoanlægsudg. til fors.virks. pr. indb. (til 2010);udg. til admininistration pr. indb. (til 2012);udliciteringsindikator (pct.) (til 2006);privat-leverandør-indik. (pct.) (gl. def.) (til 2010);pladser i vuggestuer pr. 100 0-2-årige (til 2012);pladser i børnehaver pr. 100 3-5-årige (til 2012);pladser i aldersint. inst. pr. 100 0-9-årig (til 2012);mdl. takst for vuggestueplads for 0-2-årige (til 2012);mdl. takst for børnehaveplads for 3-5-årige (til 2012);mdl. takst for plads i int. inst. (0-2 år) (til 2012);mdl. takst for plads i int. inst. (3-5 år) (til 2012);mdl. takst for frit.hj.pl (6-9) eft. ref. (kun 2014);månedl. takst for sfo (6-9) efter skoleref. (kun 2014);månedl. takst for sfo (10-13) eft. skoleref.(kun 2014);indikator for konk.uds. (pct.) (gl. def.) (til 2010);vandafledningsafgift pr. m3 (abs) (til 2010);fast årlig vandafledningsafgift (abs) (til 2010);tilslutningsbidrag til vandforsyning (abs) (til 2010);målerafgift til vandforsyning (abs) (til 2010);vandforbrugsafgift pr. m3 (abs) (til 2010)
1993;87173.0;3.2;5.4;7.5;8.0;9.7;12.4;2.2;2.2;4.4;6.2;2.2;65.5;67.4;66.6;87.6;54.9;22.9;21.0;8.77;9940.0;;41.0;11.4;76.2;73.1;22.9;27.8;;;284.0;292.0;127.3;1.4;;;;;;;27.9;0.45;28.0;10.0;15.0;8.75;28.08;;181567.0;104515.0;191130.0;34600.0;;;;;;;;;;;;;;;;;;8695.0;;;;;;;;;;;93149.0;;;;;;;15.2;;;;;;;;61090.0;45067.0;3031.0;113.0;;;;;;;;;2590.0;;;1345.0;;;57674.0;38897.0;;8.0;160.0;411.0;20.6;7816.0;31.9;675.0;104.0;5.0;15.6;;232.0;1281.0;;;2306.0;17.2;69.4;;;;;;;6301.0;;;;533.0;413.0;4.2;376.0;6.3;;;1206.0;1.0;0.89;;;28.0;;-2172.0;2338.0;;7.3;13.1;;;;2867.0;1703.0;;;;;;;;;;;
1994;87466.0;3.4;5.7;7.9;8.4;10.0;12.5;2.3;2.2;4.3;6.2;2.1;65.9;67.8;67.1;87.5;55.7;22.2;20.4;8.77;9973.0;100.0;41.4;11.4;75.8;72.8;21.8;28.9;;;293.0;298.0;127.6;1.3;;;;31200.0;32728.0;;27.9;0.42;28.0;10.0;15.0;8.75;28.09;;192616.0;100271.0;201189.0;35052.0;;;;;;;;;;;;;;;;;;9539.0;;;;;;;;;;;92837.0;;;;;;;15.5;;;;;;;;64575.0;47027.0;3436.0;1629.0;;;;;;;;;2614.0;;;1364.0;;;61855.0;39467.0;;8.0;164.0;398.0;19.4;10629.0;32.3;668.0;108.0;5.0;16.2;;315.0;1184.0;;;2470.0;17.4;70.4;;;;;;;5658.0;;;;452.0;455.0;5.4;761.0;6.1;;;644.0;0.99;0.88;;;28.4;;-2234.0;2236.0;;7.6;13.4;;;;2803.0;1841.0;;;;;;;;;;;
1995;88002.0;3.4;5.9;8.2;8.7;10.2;12.6;2.4;2.3;4.3;6.1;2.0;66.5;68.4;67.7;87.4;56.1;21.5;19.7;8.77;10034.0;;42.3;11.6;76.7;73.3;20.8;30.0;;;302.0;294.0;112.5;1.4;;;;34534.0;34830.0;;27.9;0.42;28.0;10.0;15.0;8.75;28.34;;198978.0;93273.0;205111.0;34828.0;;;;;;;;;;;;;;;;;;8916.0;;;;;;;;;;;90072.0;;;;;;;16.8;;;;;;;;65363.0;47229.0;3014.0;2649.0;;;;;;;;;2764.0;;;1354.0;;;62411.0;40171.0;;8.0;165.0;401.0;19.4;10443.0;;647.0;106.0;5.0;17.0;;373.0;1222.0;;;2615.0;17.5;70.2;;;;;;;6635.0;;;;367.0;459.0;5.3;1079.0;6.2;;;1017.0;0.98;0.88;;;27.9;;-1870.0;2829.0;;7.9;14.1;;;;2949.0;1894.0;;;;;;;;;;;
1996;88789.0;3.6;6.1;8.6;9.1;10.6;12.9;2.6;2.4;4.4;6.1;2.0;67.0;68.8;68.1;87.1;56.9;20.7;19.0;8.77;10124.0;100.0;42.9;7.6;76.8;73.4;19.9;31.1;;;308.0;341.0;103.9;1.5;;;0.97;36215.0;38852.0;;27.9;0.42;28.0;10.0;15.0;8.75;28.31;204091.0;205695.0;91170.0;212944.0;34882.0;;;;;;;;;;;;;;;;;;8658.0;;;;;;;;;;;91668.0;;;;;;;17.7;;;;;;;;67509.0;49820.0;3125.0;3021.0;;;;;;;;;2686.0;;;1316.0;;;64371.0;41603.0;;8.0;164.0;408.0;19.9;10714.0;33.8;651.0;109.0;5.0;18.0;;438.0;1168.0;;;2648.0;17.1;70.9;;;;;;;6220.0;;;;446.0;336.0;5.2;1252.0;6.0;;;139.0;1.0;0.85;;;27.9;175223.0;-2147.0;1463.0;;8.6;14.8;;;;2866.0;1840.0;;;;;;;;;;;
1997;89230.0;3.8;6.4;9.0;9.5;11.0;13.2;2.7;2.6;4.6;6.2;2.0;67.4;69.0;68.4;86.8;57.4;20.1;18.4;8.77;10174.0;100.0;43.7;7.7;77.1;73.2;19.2;32.1;;;325.0;362.0;114.3;1.6;;;0.92;35592.0;38327.0;;29.6;0.42;27.0;10.0;15.0;8.75;30.04;198889.0;198889.0;107686.0;206406.0;34747.0;;;;;;;;;;;;;;;;;;9195.0;;;;;;;;;;;91091.0;;;;;;;18.5;;;;;;;;72100.0;52625.0;3446.0;2084.0;;;;;;;;;2760.0;;;1342.0;;;63672.0;40855.0;;9.0;169.0;383.0;20.4;11731.0;32.1;650.0;109.0;5.0;18.4;;271.0;1242.0;;;2702.0;16.9;68.6;;;;;;;6379.0;;;;585.0;350.0;5.3;1359.0;5.8;;;67.0;1.01;0.88;;;29.6;175503.0;-2332.0;2307.0;;9.0;15.6;;;;2951.0;1891.0;;;;;;;;;;;
1998;89507.0;3.8;6.5;9.2;9.8;11.3;13.4;2.7;2.7;4.8;6.4;2.1;67.8;69.3;68.7;86.6;58.2;19.4;17.8;8.77;10206.0;100.0;44.9;7.8;78.1;74.2;18.2;33.2;;;351.0;379.0;100.2;1.7;;;0.93;35695.0;37810.0;;29.6;0.42;27.0;9.0;15.0;8.75;29.99;199803.0;201286.0;102174.0;208494.0;37014.0;;;;;;;;;;;;;;;;;;9613.0;;;;;;;;;;;90101.0;;;;;73.1;;18.5;;;;;;;;74601.0;55357.0;3505.0;2646.0;;;;;;;;;2757.0;;;1340.0;;;61348.0;39410.0;;9.0;178.0;410.0;20.7;11193.0;;641.0;106.0;5.0;18.0;1.15;295.0;1188.0;;;2778.0;16.6;79.0;;;;;;;11572.0;;;;665.0;312.0;5.2;1639.0;5.8;;;173.0;1.05;0.85;;;29.6;176737.0;-1937.0;1903.0;;8.8;15.4;;;;2948.0;1888.0;;;;;;;;;;;
1999;90227.0;3.9;6.7;9.6;10.1;11.7;13.8;2.8;2.9;5.0;6.5;2.2;68.1;69.6;69.0;86.2;58.8;18.7;17.2;8.77;10288.0;100.0;46.1;7.9;78.1;73.7;17.5;34.8;;;363.0;386.0;86.3;1.9;;;0.89;35772.0;37931.0;;29.6;0.42;27.0;9.0;15.0;8.75;29.96;202516.0;201896.0;102006.0;208648.0;35381.0;;;;;;;;;;;;;;;;;;9339.0;;;;;;;;;;;88960.0;;;;;68.4;;20.6;;;;;;;;72523.0;52571.0;4616.0;3694.0;;;;;;;;;2993.0;;;1337.0;;;62993.0;44182.0;;7.0;184.0;557.0;21.2;10130.0;29.8;670.0;106.0;5.0;17.7;1.11;264.0;1198.0;;;2820.0;16.2;64.6;;;;;;;6980.0;;;181.0;718.0;347.0;5.2;1763.0;5.5;;;486.0;1.0;0.87;;;29.6;173654.0;-1820.0;2090.0;;10.1;17.2;;;;3199.0;1965.0;;;;;;;;;;;
2000;90327.0;4.0;6.9;9.8;10.4;12.1;14.1;2.9;2.9;5.2;6.7;2.3;68.3;69.8;69.3;85.9;59.4;18.1;16.6;8.77;10300.0;100.0;46.3;7.9;77.9;73.4;16.9;36.0;;;349.0;386.0;91.1;2.2;;;0.9;36719.0;39863.0;;30.8;0.44;27.0;8.0;15.0;8.75;30.95;199183.0;199761.0;106886.0;214083.0;35172.0;;;;;;;;;;;;;;;;;;9288.0;;;;;;;;;;;87767.0;;;;;67.1;;20.4;;;;;;;;70987.0;51006.0;4725.0;3288.0;79.7;6.4;;;2.5;59.7;;;3143.0;;;1336.0;1704.0;1175.0;62357.0;42998.0;65513.0;7.0;186.0;570.0;21.4;10652.0;29.4;673.0;102.0;5.0;16.9;1.1;229.0;1369.0;;;2717.0;15.8;53.3;12.4;80.3;5.3;51.78;3333.57;119.55;7409.0;;;-37.0;848.0;341.0;5.3;1917.0;5.4;;;642.0;0.98;0.92;;;30.8;180926.0;-1039.0;1148.0;;10.0;17.4;21.9;25.3;33.1;3360.0;2005.0;3360.0;2005.0;;;;;19.76;;;345.2;18.83
2001;91076.0;4.1;7.1;10.0;10.7;12.4;14.5;2.9;3.0;5.4;6.9;2.4;68.4;70.0;69.4;85.5;59.8;17.6;16.0;8.77;10385.0;100.0;47.0;7.9;78.0;74.3;16.3;36.7;;21.3;371.0;370.0;88.4;1.8;;;0.89;37764.0;40434.0;;30.8;0.44;27.0;8.0;15.0;8.75;30.95;199063.0;199529.0;102222.0;214092.0;36104.0;;;;;;;;;;;;;;;;;;8929.0;;;;;;;;;;;88271.0;;;;;67.1;;22.0;;;;;;;;70943.0;51244.0;4945.0;3305.0;77.5;6.9;;;2.6;55.0;;;3135.0;;;1332.0;1700.0;1171.0;63998.0;44441.0;67338.0;7.5;194.0;554.0;21.4;10018.0;28.3;673.0;102.0;5.0;16.5;1.12;164.0;1181.0;;;2625.0;14.9;57.5;16.8;83.7;5.7;51.77;3318.37;119.42;7813.0;;;-203.0;1111.0;328.0;5.5;1991.0;5.2;;;893.0;0.99;0.92;;;30.8;179541.0;-565.0;684.0;;12.3;19.9;21.6;23.1;33.9;3351.0;1999.0;3351.0;1999.0;;;;;13.26;;19820.0;333.52;18.09
2002;91322.0;4.2;7.2;10.3;11.0;12.8;14.9;3.0;3.1;5.6;7.2;2.5;68.4;70.0;69.5;85.1;59.9;17.2;15.6;8.77;10413.0;100.0;47.1;8.4;78.0;74.6;15.6;38.1;;21.4;388.0;376.0;85.5;1.9;;;0.88;39942.0;42977.0;;30.8;0.44;27.0;8.0;15.0;8.75;30.96;205078.0;205030.0;107163.0;220168.0;36121.0;;;;;;;;;;;;;;;;;;9588.0;;;;;;;;;;;98489.0;;;;;71.6;;21.7;;;;;;;;69096.0;49412.0;5184.0;3614.0;75.3;6.8;;;2.5;50.9;;;3134.0;;;1333.0;1698.0;1169.0;61550.0;43981.0;65591.0;8.0;206.0;553.0;21.5;8700.0;27.1;677.0;103.0;5.0;17.0;1.12;175.0;1099.0;;;2596.0;14.1;65.0;12.7;87.0;5.6;56.24;3319.28;120.32;7560.0;;;-287.0;1330.0;326.0;5.7;2159.0;5.2;;;682.0;0.94;0.96;;;30.8;181624.0;-1385.0;1193.0;;12.5;20.1;21.4;23.1;33.5;3349.0;1998.0;3349.0;1998.0;;;;;12.92;;19317.0;325.07;17.83
