;indbyggertal 1. januar;andel 0-2-årige;andel 0-5-årige;andel 0-9-årige;andel 0-10-årige;andel 0-13-årige;andel 0-17-årige;andel 3-5-årige;andel 6-9-årige;andel 6-13-årige;andel 6-16-årige;andel 10-13-årige;andel 17-64-årige;andel 17-66-årige;andel 18-66-årige;andel 18+-årige;andel 25-64-årige;andel 65+-årige;andel 67+-årige;areal (km2) (abs);befolkningstæthed (indb/km2);befolkningsandel i bymæssig bebyggelse;andel ejerboliger;andel almennyttige boliger;andel udpendlere;andel indpendlere;andel 25-64-årige uden erhvervsuddannelse;andel 25-64-årige med videregående uddannelse;fuldtidsledige pr. 100 17-64/66-årige;børn af enlige forsørgere pr. 100 0-17-årige;statsborgere fra vestlige lande pr. 10.000 indb.;statsborgere fra ikke-vestlige lande pr. 10.000 indb.;anmeldte tyverier/indbrud pr. 1.000 indb.;anmeldte voldsforbrydelser pr. 1.000 indb.;andel opstillede kvinder ved kommunalvalg;andel valgte kvinder ved kommunalvalg;socioøkonomisk indeks;udgiftsbehov (landet) pr. indb.;udgiftsbehov (hovedstaden) pr. indb.;serviceudgifter pr. indb.;udskrivningsprocent;kirkeskatteprocent;grundskyldpromille;dækningsafgiftspromille af forretningsejendomme;dækn.afg.prm. af andre off. ejendommes grundværdi;dækn.afg.prm. af andre off. ejendommes forskelsværdi;beskatningsniveau (pct.);statsgaranteret udskrivningsgrundlag pr. indb.;budgetteret udskrivningsgrundlag pr. indb.;grundværdier pr. indb.;beskatningsgrundlag pr. indb.;nettodriftsudgifter pr. indb.;udg. til byudvikling, bolig og miljø pr. indb.;udg. til transport og infrastruktur pr. indb.;udg. til folkeskoleområdet pr. indb.;udg. til bibl./kultur/folkeopl. pr. indb.;udg. til sundh.ydelser ekskl. medfin. pr. indb.;udg. til akt.bestemt medfinans. af sundh.v. pr. indb.;udg. (netto) til dagtilbud pr. indb.;udg. (brutto) til dagtilbud pr. indb.;udg. til ældre samt voksne med særl. behov pr. indb.;udg. til lønpuljer pr. indb.;udg. til overførsler pr. indb.;udg. (brutto) til skattefinansieret anlæg pr. indb.;udg. til ledelse og adm. pr. indb.;udg. til central ledelse og adm. pr. indb.;udg. til decentral led. og adm. pr. indb.;udgifter i alt pr. indb.;driftsfinansiering ekskl. forsyningsvirks. pr. indb.;driftsindtægter ekskl. forsyningsvirks. pr. indb.;indtægter fra indkomstskat pr. indb.;indtægter fra ejendomsskat pr. indb.;indtægter fra selskabsskat pr. indb.;indtægter fra tilskud og udlign. pr. indb.;indtægter fra refusioner mv. pr. indb.;indt. fra den centr. ref.ordn. vedr. b/u pr. 0-17-årig;indt., centr. ref.ordn., voksne/hand. pr. 18-66-årig;refusion af købsmoms pr. indb.;anden finansiering pr. indb.;anlægsindt. excl. forsyningsvirksomhed pr. indb.;drifts- og anl.fin. inkl. fors.virks. i alt pr. indb.;langfristet gæld pr. 1/1 pr. indb.;langfristet gæld ekskl. ældrebol. pr. 1/1 pr. indb.;likvide aktiver pr. 1/1 pr. indb.;likviditet efter kassekreditreglen pr. indb.;personaleforbrug i alt pr. 1.000 indb.;årsværk til ledelse og administration pr. 1.000 indb.;privat-leverandør-indikator (pct.);indikator for konkurrenceudsættelse (pct.);indikator for konkurrenceudsættelse på hkt 0 (pct.);indikator for konkurrenceudsættelse på hkt 2 (pct.);indikator for konkurrenceudsættelse på hkt 3 (pct.);indikator for konkurrenceudsættelse på hkt 4 (pct.);indikator for konkurrenceudsættelse på hkt 5 (pct.);indikator for konkurrenceudsættelse på hkt 6 (pct.);udg. (brutto) til dagtilbud pr. 0-13-årig;udg. (netto) til dagtilbud pr. 0-13-årig;udg. til søskenderabat og fripladser pr. 0-10-årig;udg. til private pasningsordninger pr. 0-10-årig;pladser i dagpasning i alt pr. 100 0-10-årige;pladser i dagpleje pr. 100 0-2-årige;pladser i daginstitutioner pr. 100 0-2-årige;pladser i daginstitutioner pr. 100 3-5-årige;pladser i fritidshjem pr. 100 6-9-årige;pladser i sfo pr. 100 6-13-årige;antal købte pladser i dagtilbud over kom.grænser;antal solgte pladser i dagtilbud over kom.grænser;månedlig takst for dagplejeplads for 0-2-årige;månedlig takst for daginstitutionsplads for 0-2-årige;månedlig takst for daginstitutionsplads for 3-5-årige;mdl. takst for fritidshjemsplads for 6-9-årige;månedl. takst for sfo for 6-9-årige;månedl. takst for sfo for 10-13-årige;undervisningsudgifter pr. 6-16-årig;udg. til folkeskolen pr. 6-16-årig;udg. til folkeskolen pr. elev;antal folkeskoler;antal normalklasser;gennemsnitlig skolestørrelse;gennemsnitlig klassekvotient;udg. til privatskoler, efterskoler m.fl. pr. 6-16-årig;privatskoleelever pr. 100 elever;biblioteksudgifter pr. indb.;udg. til bøger og udlånsmaterialer pr. indb.;antal biblioteker;biblioteksudlån pr. indb.;personale i alt ved folkebiblioteker pr. 1.000 indb.;udg. til kultur pr. indb.;udg. til sport og fritid pr. indb.;udgifter til ældre pr. 67+-årig;udg. til ældre samt voksne m. særl. behov pr. 18+-årig;udg. til boligydelse pr. pensionist;boligydelsesmodtagere pr. 100 husstande;pladser i plejehjem/pl.centre pr. 1.000 65+/67+-årige;plejeboliger pr. 1.000 65+/67+-årige;ældreboliger pr. 1.000 65+/67+-årige;pladser i beskyttede boliger pr. 1.000 65+/67+-årige;betaling for udbragt mad pr. dag (abs);betaling for forplejning på plejehjem pr. mnd (abs);betaling for aflastn.ophold pr. døgn (abs) (til 2018);udg. til forsørgelse (netto) pr. 17-64/66-årig;udg. til børn og unge med særlige behov pr. 0-17-årig;udg. til voksne med særlige behov pr. 18-66-årig;udg. til introduktionsforløb for udlændinge pr. indb.;udg. til sygedagpenge pr. 17-64/66-årig;boligsikr.udg. pr. 17-64/66-årig;boligsikringsmodtagere pr. 100 husstande;udg. til førtidspension pr. 17-64/66-årig;førtidspensionister pr. 100 17-64/66-årige;udg. til kontanthjælp og revalidering pr 17-64/66-årig;kontanthjælpsmodtagere mv. pr. 100 17-64-årige;udg. til aktivering pr. 17-64/66-årig;serviceniveau (gns=1,00) (til 2018);skat/service-forhold (gns 1,00) (til 2018);kom.s forventning til serviceudg. pr. indb. (til 2016);halvårsstatus for serviceudgifter pr. indb. (til 2017);samlet amts- og primærkom. udskrivn.pct. (til 2006);beskatningsgrl. efter udligning pr. indb. (til 2006);udg. til forsyningsvirksomhed pr. indb. (til 2010);bruttoanlægsudg. til fors.virks. pr. indb. (til 2010);udg. til admininistration pr. indb. (til 2012);udliciteringsindikator (pct.) (til 2006);privat-leverandør-indik. (pct.) (gl. def.) (til 2010);pladser i vuggestuer pr. 100 0-2-årige (til 2012);pladser i børnehaver pr. 100 3-5-årige (til 2012);pladser i aldersint. inst. pr. 100 0-9-årig (til 2012);mdl. takst for vuggestueplads for 0-2-årige (til 2012);mdl. takst for børnehaveplads for 3-5-årige (til 2012);mdl. takst for plads i int. inst. (0-2 år) (til 2012);mdl. takst for plads i int. inst. (3-5 år) (til 2012);mdl. takst for frit.hj.pl (6-9) eft. ref. (kun 2014);månedl. takst for sfo (6-9) efter skoleref. (kun 2014);månedl. takst for sfo (10-13) eft. skoleref.(kun 2014);indikator for konk.uds. (pct.) (gl. def.) (til 2010);vandafledningsafgift pr. m3 (abs) (til 2010);fast årlig vandafledningsafgift (abs) (til 2010);tilslutningsbidrag til vandforsyning (abs) (til 2010);målerafgift til vandforsyning (abs) (til 2010);vandforbrugsafgift pr. m3 (abs) (til 2010)
1993;38565.0;3.9;7.6;12.1;13.3;16.8;22.4;3.7;4.5;9.1;13.1;4.6;67.6;69.2;67.5;77.6;56.6;11.7;10.1;248.61;151.0;;64.6;15.7;;;32.9;15.1;;;87.0;164.0;57.5;2.0;;;;;;;19.39;0.84;12.475;6.592;5.817;4.767;19.14;;142061.0;164351.0;155689.0;34658.0;728.0;1206.0;7701.0;1543.0;609.0;;5906.0;8027.0;4228.0;;4144.0;2392.0;;;;37546.0;50279.0;7483.0;27891.0;2700.0;387.0;6146.0;5249.0;;;2059.0;1244.0;226.0;55180.0;;;;;;;16.1;;;;;;;;47902.0;35247.0;3360.0;211.0;;;;;;;;;;;;;;;59490.0;52282.0;;13.4;211.0;296.0;18.8;3571.0;12.4;573.0;119.0;8.0;17.1;;245.0;1279.0;;5450.0;2083.0;10.3;56.4;;;;;;;5792.0;3597.0;;;892.0;589.0;8.1;386.0;6.0;;;1714.0;1.09;0.93;;;29.8;;-850.0;806.0;5302.0;12.9;18.4;;;;;1844.0;;;;;;;;;;;
1994;38844.0;3.9;7.7;12.3;13.4;16.9;22.0;3.8;4.7;9.2;12.9;4.5;67.6;69.2;67.8;78.0;57.0;11.8;10.2;248.61;152.0;85.8;64.2;16.0;;;32.2;15.4;;;89.0;163.0;60.9;2.5;;;;28972.0;32794.0;;19.4;0.85;12.559;6.592;5.817;4.581;19.12;;145995.0;155796.0;159000.0;35452.0;611.0;1054.0;7854.0;1547.0;590.0;;6247.0;8341.0;5095.0;54.0;4522.0;2451.0;;;;38480.0;51341.0;7547.0;29229.0;2550.0;171.0;6552.0;5315.0;;;2128.0;1147.0;369.0;57199.0;3337.0;;2516.0;;;;16.3;;;;;;;;49433.0;37025.0;3554.0;1686.0;;;;;;;;;2637.0;;;;;;61512.0;53008.0;;13.4;213.0;292.0;18.4;4802.0;12.7;571.0;111.0;8.0;16.6;;261.0;1276.0;;6530.0;2268.0;10.9;51.1;;;;;;;5136.0;4238.0;;;863.0;496.0;7.9;794.0;6.3;;;1631.0;1.09;0.94;;;30.2;;-878.0;988.0;5548.0;12.6;18.6;;;;;1876.0;;;;;;;;;;;
1995;39015.0;4.0;7.9;12.7;13.8;17.2;22.0;3.9;4.8;9.3;12.9;4.5;67.2;68.8;67.6;78.0;57.1;12.0;10.4;248.61;153.0;;64.8;16.2;;;31.6;15.6;;;88.0;161.0;59.2;2.1;;;;31900.0;33950.0;;19.58;0.85;13.501;6.592;6.254;4.068;19.62;;151436.0;148135.0;162311.0;34790.0;625.0;1218.0;7618.0;1536.0;629.0;;6570.0;8980.0;5891.0;90.0;4278.0;2070.0;;;;38608.0;51596.0;7822.0;30616.0;2443.0;458.0;5175.0;5166.0;;;2104.0;385.0;371.0;59734.0;3214.0;;1923.0;;;;16.5;;;;;;;;52351.0;38302.0;3161.0;1667.0;;;;;;;;;2659.0;;;;;;59648.0;50954.0;;13.4;213.0;295.0;18.6;4552.0;;592.0;119.0;8.0;15.6;;233.0;1226.0;;7553.0;2279.0;11.4;52.7;;;;;;;5547.0;3236.0;;;837.0;518.0;7.3;1253.0;6.7;;;1238.0;1.07;0.93;;;30.2;;-1031.0;2188.0;5648.0;13.4;18.6;;;;;1911.0;;;;;;;;;;;
1996;39401.0;4.0;8.0;13.1;14.2;17.6;22.3;4.0;5.0;9.5;12.9;4.5;66.8;68.5;67.2;77.7;57.1;12.2;10.5;248.61;154.0;85.8;65.3;16.2;;;30.9;15.7;;;90.0;180.0;54.8;1.8;;;0.89;35234.0;36658.0;;19.88;0.85;13.915;6.592;6.473;4.767;19.96;154186.0;154059.0;146745.0;165825.0;36119.0;623.0;1364.0;7681.0;1542.0;702.0;;6943.0;9533.0;5999.0;156.0;4331.0;1780.0;;;;41905.0;55387.0;7908.0;31787.0;2570.0;352.0;4951.0;5575.0;;;2131.0;646.0;121.0;61784.0;4741.0;;2556.0;;;;17.5;;;;;;;;54230.0;39499.0;3472.0;1157.0;;;;;;;;;2486.0;;;;;;59763.0;50778.0;;13.4;210.0;293.0;18.8;4659.0;13.8;592.0;112.0;8.0;16.2;;278.0;1151.0;;7717.0;2176.0;11.4;45.4;;;;;;;5771.0;3728.0;;;928.0;412.0;6.7;1539.0;7.0;;;979.0;1.11;0.92;;;30.6;174371.0;-854.0;3463.0;5929.0;14.4;19.7;;;;;1944.0;;;;;;;;;;;
1997;39731.0;4.0;8.1;13.3;14.6;17.8;22.3;4.1;5.2;9.7;13.1;4.5;66.3;68.1;67.0;77.7;57.2;12.4;10.7;248.61;156.0;85.9;65.3;16.1;;;30.3;15.8;;;93.0;194.0;58.0;1.3;;;0.89;35439.0;36819.0;;20.43;0.85;13.7;5.5;6.473;4.767;20.47;153072.0;154107.0;144726.0;165719.0;35935.0;677.0;1301.0;7650.0;1481.0;630.0;;7037.0;9736.0;6307.0;162.0;4659.0;1636.0;;;;38671.0;52915.0;8088.0;32510.0;2609.0;319.0;3492.0;6157.0;;;1999.0;-2824.0;449.0;60567.0;6731.0;;2321.0;;;;17.8;;;;;;;;54562.0;39440.0;3565.0;353.0;;;;;;;;;2432.0;;;;;;59042.0;49593.0;;13.4;214.0;307.0;19.3;5201.0;13.7;571.0;110.0;8.0;15.9;;257.0;1128.0;;8122.0;2365.0;11.8;36.0;;;;;;;6279.0;4269.0;;;1175.0;356.0;6.4;1748.0;7.1;;;647.0;1.1;0.94;;;31.6;175183.0;-1363.0;1608.0;5824.0;14.6;19.8;;;;;1946.0;;;;;;;;;;;
1998;39947.0;3.9;8.1;13.4;14.6;18.0;22.4;4.2;5.3;9.9;13.2;4.7;66.0;67.8;66.7;77.6;57.3;12.7;10.9;248.61;156.0;85.3;66.7;16.0;;;29.4;16.2;;;91.0;195.0;49.0;1.1;;;0.87;35590.0;36194.0;;20.88;0.85;14.841;5.974;7.162;4.767;21.0;154256.0;155658.0;144211.0;166728.0;36780.0;702.0;1203.0;7639.0;1437.0;652.0;;7152.0;9916.0;6647.0;226.0;5152.0;1546.0;;;;37634.0;52179.0;8358.0;33385.0;2655.0;663.0;3918.0;6186.0;;;2037.0;-1727.0;1119.0;64720.0;7085.0;;-145.0;;76.6;;17.6;;;;;;;;55053.0;39710.0;3542.0;578.0;;;;;;;;;2456.0;;;;;;58273.0;49180.0;;13.4;215.0;313.0;19.6;5011.0;;570.0;107.0;8.0;12.4;0.91;233.0;1135.0;;8566.0;2643.0;12.3;34.7;;;;;;;7034.0;4877.0;;;1224.0;327.0;6.1;2104.0;7.2;;;684.0;1.1;0.95;;;32.3;175863.0;-1266.0;558.0;5914.0;14.8;19.9;;;;;1946.0;;;;;;;;;;;
1999;40451.0;3.8;8.0;13.4;14.7;18.2;22.5;4.3;5.4;10.2;13.4;4.8;65.8;67.6;66.5;77.5;57.7;12.7;11.0;248.61;158.0;85.4;67.1;15.9;;;28.5;16.7;;;102.0;197.0;48.4;1.6;;;0.86;36102.0;36604.0;34283.0;20.96;0.86;15.396;5.974;7.32;4.767;21.11;155594.0;156093.0;146055.0;167005.0;38400.0;674.0;1245.0;7855.0;1468.0;647.0;;7263.0;10061.0;6927.0;204.0;5134.0;2117.0;;;;37914.0;52535.0;8558.0;33453.0;2774.0;637.0;5202.0;6062.0;;;2519.0;1739.0;1685.0;63435.0;7909.0;7158.0;-302.0;;76.3;;19.9;;;;;;;;55282.0;39903.0;3731.0;564.0;;;;;;;;;2464.0;;;;;;58993.0;49807.0;;14.4;216.0;301.0;20.1;5074.0;12.9;565.0;102.0;8.0;13.1;0.9;260.0;1096.0;;8939.0;2185.0;12.4;33.3;;;;;;;6923.0;5227.0;;115.0;1226.0;357.0;5.9;2321.0;7.5;;;713.0;1.12;0.94;;;32.6;169840.0;-790.0;1627.0;6307.0;14.4;19.7;;;;;1943.0;;;;;;;;;;;
2000;40872.0;3.7;8.0;13.5;14.8;18.5;22.7;4.2;5.5;10.5;13.6;4.9;65.6;67.3;66.1;77.3;57.8;12.8;11.1;248.61;160.0;85.3;67.2;16.0;;;27.5;17.3;;;104.0;194.0;47.6;1.2;;;0.85;36967.0;38269.0;34289.0;20.96;0.86;15.464;5.974;7.32;4.767;21.02;153194.0;150969.0;150625.0;171017.0;38993.0;552.0;1174.0;7918.0;1518.0;659.0;;7388.0;10235.0;7027.0;241.0;5447.0;4031.0;;;;42158.0;56793.0;8795.0;32030.0;4606.0;670.0;4742.0;5842.0;;;2736.0;246.0;2289.0;62727.0;6301.0;5562.0;689.0;;76.8;;18.6;;;;;;;;55427.0;40009.0;3742.0;572.0;80.3;55.1;;;;;;;2485.0;;;;;;58521.0;49229.0;61089.0;13.9;219.0;322.0;20.5;4913.0;12.9;590.0;111.0;8.0;12.8;0.91;290.0;1113.0;;9097.0;2220.0;12.2;28.8;18.7;15.7;17.4;48.86;2428.95;100.1;7646.0;5519.0;;6.0;1716.0;332.0;5.9;2519.0;7.4;;;768.0;1.12;0.93;;;32.6;177406.0;-515.0;1265.0;5999.0;12.3;17.5;;48.5;26.9;;1976.0;;;;;;;31.75;;23805.0;165.43;
2001;41359.0;3.8;7.9;13.6;15.0;18.7;23.0;4.2;5.6;10.8;14.0;5.2;64.9;66.9;65.8;77.0;57.5;13.1;11.2;248.61;162.0;85.3;68.6;16.5;;;26.8;17.7;;13.0;98.0;189.0;43.8;1.9;;;0.85;38564.0;39362.0;34930.0;20.96;0.87;16.321;5.974;7.757;4.767;21.1;148319.0;153093.0;156333.0;174220.0;39735.0;836.0;1254.0;8278.0;1600.0;653.0;;7403.0;10217.0;7008.0;385.0;5509.0;3676.0;;;;42716.0;57928.0;9072.0;33285.0;4972.0;517.0;4252.0;6139.0;;;2599.0;243.0;1322.0;62869.0;6807.0;6083.0;127.0;;76.6;;16.0;;;;;;;;54507.0;39495.0;3531.0;1058.0;74.4;52.6;;;;;;;2521.0;;;;;;59680.0;49137.0;61476.0;13.4;233.0;345.0;19.9;4966.0;13.1;585.0;107.0;8.0;12.4;0.85;308.0;1114.0;;9101.0;2176.0;11.0;29.7;19.7;39.9;17.2;48.15;;99.13;7935.0;5894.0;;-77.0;1892.0;326.0;5.0;2778.0;7.3;;;584.0;1.11;0.93;;;32.6;177661.0;-504.0;426.0;5904.0;12.2;18.0;;45.1;28.6;;2021.0;;2021.0;;;;;33.83;;31490.0;159.88;
2002;41741.0;3.9;7.9;13.7;15.0;18.9;23.3;4.0;5.8;11.0;14.4;5.2;64.3;66.4;65.5;76.7;57.3;13.4;11.3;248.61;163.0;85.8;69.0;16.1;;;25.8;18.3;;13.2;99.0;214.0;47.9;2.2;;;0.86;40784.0;41607.0;37251.0;20.96;0.9;16.229;5.974;7.757;4.767;21.09;152357.0;155561.0;155031.0;177296.0;41741.0;919.0;1323.0;8829.0;1564.0;660.0;;7212.0;10155.0;7745.0;513.0;5494.0;3250.0;;;;46133.0;60943.0;8270.0;34314.0;5154.0;454.0;6723.0;6540.0;;;2578.0;-1125.0;1269.0;68347.0;7936.0;7237.0;103.0;;78.8;;17.3;;;;;;;;53731.0;38161.0;3625.0;1076.0;76.1;48.7;;;;;;;2559.0;;;;;;61799.0;50794.0;64153.0;13.9;234.0;342.0;20.3;4948.0;13.2;575.0;102.0;8.0;11.1;0.9;314.0;1087.0;;10094.0;2239.0;10.9;14.7;40.9;36.3;7.9;47.95;;98.85;7875.0;9526.0;;-192.0;2040.0;262.0;4.9;3084.0;7.0;;;534.0;1.1;0.93;;;32.6;179382.0;-794.0;910.0;5935.0;12.4;18.6;;42.1;30.3;;2040.0;;2040.0;;;;;34.79;;23928.0;183.78;
